Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,City,State,Region,Product_ID,Product_Name,Category,Sub_Category,Quantity,Discount,Sales,Profit,Profit_Margin,Year,Month,Month_Name,Year_Month
ORD000896,2024-01-01,CUST00071,Arjun Sharma,Small Business,Delhi,Delhi,North,PROD0019,Printer,Office Supplies,Machines,5,0.1,67500.0,15000.0,0.2222222222222222,2024,1,January,2024-01
ORD000835,2024-01-01,CUST01037,Sneha Nair,Small Business,Patna,Bihar,East,PROD0026,Wireless Earbuds,Accessories,Audio,5,0.0,27500.0,11500.0,0.41818181818181815,2024,1,January,2024-01
ORD006346,2024-01-01,CUST00622,Karan Nair,Corporate,Chennai,Tamil Nadu,South,PROD0028,Power Bank,Accessories,Mobile Accessories,1,0.05,1710.0,760.0,0.4444444444444444,2024,1,January,2024-01
ORD006346,2024-01-01,CUST00622,Karan Nair,Corporate,Chennai,Tamil Nadu,South,PROD0015,Bookshelf,Furniture,Storage,4,0.0,34000.0,14000.0,0.4117647058823529,2024,1,January,2024-01
ORD006343,2024-01-01,CUST00064,Aditya Rao,Corporate,Mumbai,Maharashtra,West,PROD0010,Smartphone Lite,Electronics,Mobiles,1,0.15,18700.0,2700.0,0.1443850267379679,2024,1,January,2024-01
ORD005319,2024-01-01,CUST00516,Neha Iyer,Corporate,Hyderabad,Telangana,South,PROD0026,Wireless Earbuds,Accessories,Audio,1,0.0,5500.0,2300.0,0.41818181818181815,2024,1,January,2024-01
ORD005319,2024-01-01,CUST00516,Neha Iyer,Corporate,Hyderabad,Telangana,South,PROD0012,Ergonomic Chair,Furniture,Chairs,4,0.15,61200.0,17200.0,0.28104575163398693,2024,1,January,2024-01
ORD009781,2024-01-01,CUST00153,Diya Gupta,Consumer,Bengaluru,Karnataka,South,PROD0008,24-inch Monitor,Electronics,Monitors,1,0.0,15000.0,4500.0,0.3,2024,1,January,2024-01
ORD000200,2024-01-01,CUST00187,Aarav Verma,Corporate,Bhubaneswar,Odisha,East,PROD0023,Backpack,Accessories,Bags,2,0.2,4000.0,1400.0,0.35,2024,1,January,2024-01
ORD008350,2024-01-01,CUST01030,Neha Patel,Small Business,Pune,Maharashtra,West,PROD0016,Filing Cabinet,Furniture,Storage,3,0.0,21000.0,8400.0,0.4,2024,1,January,2024-01
ORD002559,2024-01-01,CUST00124,Rohan Malik,Corporate,Ahmedabad,Gujarat,West,PROD0010,Smartphone Lite,Electronics,Mobiles,2,0.0,44000.0,12000.0,0.2727272727272727,2024,1,January,2024-01
ORD006431,2024-01-01,CUST01034,Rahul Sharma,Consumer,Delhi,Delhi,North,PROD0018,Premium Notebook,Office Supplies,Paper,3,0.2,1560.0,570.0,0.36538461538461536,2024,1,January,2024-01
ORD009887,2024-01-01,CUST00436,Aisha Joshi,Small Business,Bhubaneswar,Odisha,East,PROD0028,Power Bank,Accessories,Mobile Accessories,1,0.15,1530.0,580.0,0.3790849673202614,2024,1,January,2024-01
ORD004254,2024-01-01,CUST00314,Priya Mehta,Corporate,Patna,Bihar,East,PROD0016,Filing Cabinet,Furniture,Storage,2,0.15,11900.0,3500.0,0.29411764705882354,2024,1,January,2024-01
ORD009887,2024-01-01,CUST00436,Aisha Joshi,Small Business,Bhubaneswar,Odisha,East,PROD0014,Standing Desk,Furniture,Tables,1,0.0,28000.0,9000.0,0.32142857142857145,2024,1,January,2024-01
ORD000735,2024-01-01,CUST01072,Rohan Khan,Corporate,Pune,Maharashtra,West,PROD0004,Wireless Mouse,Electronics,Accessories,4,0.0,4800.0,2200.0,0.4583333333333333,2024,1,January,2024-01
ORD007805,2024-01-01,CUST00817,Aditya Joshi,Small Business,Pune,Maharashtra,West,PROD0017,Notebook Pack,Office Supplies,Paper,1,0.1,405.0,185.0,0.4567901234567901,2024,1,January,2024-01
ORD007689,2024-01-01,CUST00778,Neha Khan,Corporate,Pune,Maharashtra,West,PROD0014,Standing Desk,Furniture,Tables,1,0.1,25200.0,6200.0,0.24603174603174602,2024,1,January,2024-01
ORD009873,2024-01-01,CUST01140,Aarav Patel,Small Business,Chennai,Tamil Nadu,South,PROD0024,Laptop Backpack,Accessories,Bags,4,0.05,15960.0,7160.0,0.44862155388471175,2024,1,January,2024-01
ORD009873,2024-01-01,CUST01140,Aarav Patel,Small Business,Chennai,Tamil Nadu,South,PROD0001,Laptop Pro 14,Electronics,Computers,2,0.0,170000.0,34000.0,0.2,2024,1,January,2024-01
ORD009873,2024-01-01,CUST01140,Aarav Patel,Small Business,Chennai,Tamil Nadu,South,PROD0011,Office Chair,Furniture,Chairs,1,0.0,12000.0,4500.0,0.375,2024,1,January,2024-01
ORD008849,2024-01-01,CUST00170,Karan Khan,Consumer,Jaipur,Rajasthan,North,PROD0017,Notebook Pack,Office Supplies,Paper,2,0.0,900.0,460.0,0.5111111111111111,2024,1,January,2024-01
ORD009873,2024-01-01,CUST01140,Aarav Patel,Small Business,Chennai,Tamil Nadu,South,PROD0016,Filing Cabinet,Furniture,Storage,3,0.0,21000.0,8400.0,0.4,2024,1,January,2024-01
ORD004254,2024-01-01,CUST00314,Priya Mehta,Corporate,Patna,Bihar,East,PROD0001,Laptop Pro 14,Electronics,Computers,1,0.2,68000.0,0.0,0.0,2024,1,January,2024-01
ORD008760,2024-01-02,CUST00365,Meera Verma,Consumer,Bengaluru,Karnataka,South,PROD0005,Mechanical Keyboard,Electronics,Accessories,1,0.0,4500.0,1800.0,0.4,2024,1,January,2024-01
ORD006383,2024-01-02,CUST00091,Karan Mehta,Consumer,Kolkata,West Bengal,East,PROD0012,Ergonomic Chair,Furniture,Chairs,1,0.15,15300.0,4300.0,0.28104575163398693,2024,1,January,2024-01
