Customer_ID,Customer_Name,City,State,Region,Customer_Segment
CUST00001,Arjun Sharma,Patna,Bihar,East,Corporate
CUST00002,Karan Patel,Chennai,Tamil Nadu,South,Small Business
CUST00003,Arjun Joshi,Patna,Bihar,East,Small Business
CUST00004,Aditya Mehta,Delhi,Delhi,North,Consumer
CUST00005,Aarav Verma,Mumbai,Maharashtra,West,Consumer
CUST00006,Zoya Mehta,Hyderabad,Telangana,South,Small Business
CUST00007,Vikram Malik,Bhubaneswar,Odisha,East,Small Business
CUST00008,Sara Singh,Mumbai,Maharashtra,West,Corporate
CUST00009,Riya Khan,Hyderabad,Telangana,South,Consumer
CUST00010,Kavya Gupta,Pune,Maharashtra,West,Consumer
CUST00011,Vikram Das,Ahmedabad,Gujarat,West,Consumer
CUST00012,Aditya Singh,Bengaluru,Karnataka,South,Corporate
CUST00013,Neha Mehta,Pune,Maharashtra,West,Consumer
CUST00014,Isha Rao,Bengaluru,Karnataka,South,Corporate
CUST00015,Aditya Rao,Pune,Maharashtra,West,Small Business
CUST00016,Diya Iyer,Ahmedabad,Gujarat,West,Small Business
CUST00017,Vikram Malik,Bengaluru,Karnataka,South,Consumer
CUST00018,Karan Das,Pune,Maharashtra,West,Consumer
CUST00019,Karan Nair,Bengaluru,Karnataka,South,Corporate
CUST00020,Ananya Kumar,Bhubaneswar,Odisha,East,Corporate
CUST00021,Rohan Gupta,Ahmedabad,Gujarat,West,Consumer
CUST00022,Ananya Malik,Bhubaneswar,Odisha,East,Small Business
CUST00023,Aditya Mehta,Bhubaneswar,Odisha,East,Consumer
CUST00024,Sara Malik,Mumbai,Maharashtra,West,Consumer
CUST00025,Isha Singh,Pune,Maharashtra,West,Small Business
CUST00026,Sara Patel,Bhubaneswar,Odisha,East,Corporate
CUST00027,Vivaan Patel,Hyderabad,Telangana,South,Corporate
CUST00028,Sneha Khan,Bengaluru,Karnataka,South,Consumer
CUST00029,Riya Iyer,Patna,Bihar,East,Corporate
CUST00030,Vikram Joshi,Jaipur,Rajasthan,North,Corporate
CUST00031,Isha Reddy,Pune,Maharashtra,West,Consumer
CUST00032,Karan Malik,Lucknow,Uttar Pradesh,North,Small Business
CUST00033,Ananya Malik,Kolkata,West Bengal,East,Corporate
CUST00034,Riya Singh,Ahmedabad,Gujarat,West,Consumer
